2026-09-18 08:10:04.591 +03:00 [INF] Now listening on: https://localhost:7015
2026-09-18 08:10:04.644 +03:00 [INF] Now listening on: http://localhost:5070
2026-09-18 08:10:04.654 +03:00 [INF] Application started. Press Ctrl+C to shut down.
2026-09-18 08:57:24.734 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.742 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.751 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.759 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:57:52.213 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 08:57:52.214 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:52.214 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:52.217 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:52.218 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 08:57:52.218 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:52.234 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:52.255 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 09:10:06.869 +03:00 [INF] HTTP OPTIONS /api/resources/videos responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 09:10:06.875 +03:00 [INF] HTTP OPTIONS /api/resources/pdfs responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 09:10:06.896 +03:00 [INF] HTTP OPTIONS /api/scenarios/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 09:10:06.903 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 17 ms (User: anonim, IP: ::1)
2026-09-18 09:10:06.897 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 19 ms (User: anonim, IP: ::1)
2026-09-18 09:10:06.906 +03:00 [INF] HTTP OPTIONS /api/leaderboard/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 09:10:06.909 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 09:10:06.987 +03:00 [INF] HTTP GET /api/leaderboard/list responded 200 in 56 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.690 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.691 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.694 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.696 +03:00 [INF] HTTP GET /api/leaderboard/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.697 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.709 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.713 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 19 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.720 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.730 +03:00 [INF] HTTP GET /api/leaderboard/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 09:10:33.743 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.766 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 12 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.773 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 20 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.766 +03:00 [INF] HTTP GET /api/leaderboard/list responded 200 in 13 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.768 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 14 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.766 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 13 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.830 +03:00 [INF] HTTP OPTIONS /api/resources/videos responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.836 +03:00 [INF] HTTP OPTIONS /api/resources/pdfs responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.842 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.848 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.865 +03:00 [INF] HTTP OPTIONS /api/scenarios/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 09:17:02.872 +03:00 [INF] HTTP OPTIONS /api/leaderboard/list responded 204 in 0 ms (User: anonim, IP: ::1)
